,randNumCol,mid1,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10
207,944383529,135.5,53.0,51.0,48.5,51.0,51.0,43.5,44.0,40.0,47.0,55.0
208,114562364,140.5,49.0,50.0,48.5,48.0,50.0,50.0,,50.0,50.0,
209,995177563,116.5,49.0,46.0,45.0,39.0,39.0,50.0,48.0,49.0,44.0,50.0
210,827900608,112.0,43.0,37.0,45.0,43.0,33.0,36.0,,,46.0,
211,328478800,140.5,49.0,49.0,40.5,46.5,50.0,49.0,48.0,,44.0,
212,606523192,107.0,52.0,52.0,48.5,50.5,49.0,46.0,43.0,49.0,,
213,909619050,79.0,32.0,34.0,,48.0,,34.0,26.0,42.0,,50.0
214,148568617,122.5,51.0,51.0,48.5,52.0,52.0,50.0,50.0,,,
215,654614175,142.0,45.0,36.0,38.5,52.0,47.0,50.0,50.0,,,55.0
216,829664514,101.0,40.5,51.0,50.5,43.5,49.0,48.0,20.0,37.0,50.0,45.0
217,803321204,144.0,36.0,46.5,52.0,50.5,49.0,50.0,49.0,40.0,,
218,287532404,143.0,47.0,49.0,50.5,52.0,50.0,51.0,48.0,45.0,,
219,604876819,106.5,47.0,45.0,48.0,52.0,47.0,49.0,46.0,46.0,48.0,
220,251388393,130.0,54.0,51.0,53.0,50.5,50.0,50.0,51.0,44.0,45.0,55.0
221,549851463,147.0,41.0,48.0,47.0,41.0,47.0,42.0,48.0,44.0,48.0,50.0
222,802011554,125.5,36.0,41.0,42.0,50.5,44.0,46.0,52.0,,44.0,53.0
223,635747278,110.5,31.0,47.0,45.0,45.0,39.0,44.0,43.0,49.0,46.0,
224,827611327,137.5,46.0,47.0,49.0,42.0,48.0,47.0,45.0,49.0,47.0,
225,981101538,104.5,52.0,51.0,48.5,48.5,51.0,48.0,,45.0,46.0,
226,987928730,121.5,45.0,49.0,43.5,48.5,47.0,44.0,,50.0,,
227,200028206,81.5,52.0,51.0,51.5,52.0,50.0,52.0,52.0,45.0,50.0,55.0
228,367317839,150.0,53.0,49.0,53.0,52.0,46.0,52.0,50.0,51.0,,
229,724100099,73.5,45.0,49.0,45.0,47.5,49.0,,,,,
230,155851248,109.0,45.0,48.0,46.0,50.0,49.0,42.0,,46.0,41.0,
231,320001219,121.0,47.0,48.0,45.5,52.0,44.0,42.0,43.0,48.0,,
232,806095004,112.0,,36.0,34.5,48.5,43.0,35.0,45.0,42.0,46.0,55.0
233,794981163,136.5,45.5,51.0,48.0,50.0,40.0,47.0,47.0,53.0,53.0,55.0
