randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2 (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4.1 (35.0 pts),5: Q5 (30.0 pts)
315771604,60.0,150.0,Graded,2022-10-06 13:50:06 -0500,01:25:06,1.0,1.0,10.0,15.0,5.0,10.0,10.0,0.0,10.0,0.0
287997147,125.0,150.0,Graded,2022-10-06 13:24:30 -0500,00:59:30,16.0,1.0,14.0,15.0,13.0,10.0,10.0,8.0,31.0,24.0
174700007,25.0,150.0,Graded,2022-10-06 13:37:31 -0500,01:12:31,4.0,2.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
934612942,133.0,150.0,Graded,2022-10-06 12:16:56 -0500,00:00:00,5.0,1.0,18.0,12.0,20.0,9.0,9.0,6.0,32.0,27.0
237280992,147.5,150.0,Graded,2022-10-06 12:19:26 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,32.5,30.0
587634781,128.5,150.0,Graded,2022-10-06 12:18:19 -0500,00:00:00,6.0,1.0,18.0,15.0,15.0,10.0,10.0,6.0,28.5,26.0
734458226,123.5,150.0,Graded,2022-10-06 12:22:09 -0500,00:00:00,6.0,2.0,14.0,14.0,20.0,10.0,10.0,6.0,26.5,23.0
286960191,136.0,150.0,Graded,2022-10-06 13:31:04 -0500,01:06:04,2.0,1.0,18.0,14.0,20.0,10.0,9.0,4.0,35.0,26.0
807600492,106.5,150.0,Graded,2022-10-06 14:39:44 -0500,02:14:44,0.0,1.0,12.0,15.0,15.0,10.0,10.0,10.0,13.5,21.0
915813150,146.5,150.0,Graded,2022-10-06 12:13:17 -0500,00:00:00,2.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,31.5,30.0
944383529,135.5,150.0,Graded,2022-10-06 12:24:56 -0500,00:00:00,3.0,1.0,16.0,15.0,10.0,10.0,10.0,10.0,34.5,30.0
114562364,140.5,150.0,Graded,2022-10-06 12:16:55 -0500,00:00:00,1.0,1.0,18.0,15.0,15.0,10.0,10.0,10.0,33.5,29.0
995177563,116.5,150.0,Graded,2022-10-06 12:23:01 -0500,00:00:00,4.0,1.0,8.0,14.0,19.0,10.0,8.0,0.0,31.5,26.0
827900608,112.0,150.0,Graded,2022-10-06 12:27:08 -0500,00:02:08,2.0,1.0,12.0,12.0,5.0,10.0,10.0,10.0,24.0,29.0
328478800,140.5,150.0,Graded,2022-10-06 13:45:03 -0500,01:20:03,3.0,3.0,16.0,15.0,20.0,10.0,10.0,8.0,31.5,30.0
606523192,107.0,150.0,Graded,2022-10-06 14:42:41 -0500,02:17:41,2.0,2.0,8.0,15.0,15.0,10.0,10.0,4.0,30.0,15.0
909619050,79.0,150.0,Graded,2022-10-06 13:40:31 -0500,01:15:31,1.0,1.0,12.0,15.0,10.0,10.0,10.0,10.0,0.0,12.0
148568617,122.5,150.0,Graded,2022-10-06 12:19:34 -0500,00:00:00,4.0,1.0,10.0,15.0,14.0,10.0,10.0,10.0,24.5,29.0
654614175,142.0,150.0,Graded,2022-10-06 13:48:49 -0500,01:23:49,4.0,1.0,18.0,15.0,15.0,10.0,10.0,10.0,34.0,30.0
829664514,101.0,150.0,Graded,2022-10-06 12:25:19 -0500,00:00:19,4.0,2.0,12.0,15.0,8.0,10.0,8.0,6.0,20.0,22.0
803321204,144.0,150.0,Graded,2022-10-06 12:21:11 -0500,00:00:00,2.0,2.0,18.0,15.0,20.0,10.0,10.0,10.0,32.0,29.0
287532404,143.0,150.0,Graded,2022-10-06 12:24:06 -0500,00:00:00,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,28.0,30.0
604876819,106.5,150.0,Graded,2022-10-06 12:24:17 -0500,00:00:00,4.0,1.0,8.0,15.0,15.0,10.0,8.0,2.0,22.5,26.0
251388393,130.0,150.0,Graded,2022-10-06 12:21:29 -0500,00:00:00,2.0,1.0,20.0,15.0,15.0,10.0,10.0,8.0,25.0,27.0
